date,doy,rep,plot,crop phase,planting,cc,n2og
1/28/2025,28,1,101,corn,early,yes,45.3527424
1/28/2025,28,1,102,corn,late,no,13.2922944
1/28/2025,28,1,104,soybean,late,no,96.1123968
1/28/2025,28,1,105,corn,early,no,47.0038464
1/28/2025,28,1,107,soybean,early,no,45.1749312
1/28/2025,28,1,108,soybean,late,yes,56.228256
1/28/2025,28,3,301,corn,early,yes,77.6490624
1/28/2025,28,3,302,corn,late,no,32.6083968
1/28/2025,28,3,303,soybean,early,no,82.2431232
1/28/2025,28,3,304,soybean,late,yes,63.3987648
1/28/2025,28,3,305,corn,early,no,56.6927424
1/28/2025,28,3,308,soybean,late,no,80.595648
1/28/2025,28,5,501,corn,early,no,78.8393088
1/28/2025,28,5,504,soybean,late,yes,181.3746816
1/28/2025,28,5,505,corn,early,yes,117.936
1/28/2025,28,5,506,corn,late,no,78.4256256
1/28/2025,28,5,507,soybean,early,no,12.7878912
1/28/2025,28,5,508,soybean,late,no,11.5903872
1/28/2025,28,2,201,corn,early,no,61.907328
1/28/2025,28,2,202,corn,late,no,33.8966208
1/28/2025,28,2,204,soybean,late,no,97.5675456
1/28/2025,28,2,205,corn,early,yes,44.9172864
1/28/2025,28,2,208,soybean,late,yes,205.9416576
1/28/2025,28,4,401,corn,early,yes,77.8994496
1/28/2025,28,4,403,soybean,early,no,59.0986368
1/28/2025,28,4,404,soybean,late,yes,196.1765568
1/28/2025,28,4,405,corn,early,no,124.8742656
1/28/2025,28,4,406,corn,late,no,130.6622016
1/28/2025,28,4,408,soybean,late,no,136.606176
1/28/2025,28,6,601,corn,early,no,93.4307136
1/28/2025,28,6,602,corn,late,no,311.1296832
1/28/2025,28,6,604,soybean,late,yes,205.0780032
1/28/2025,28,6,605,corn,early,yes,93.1621824
1/28/2025,28,6,607,soybean,early,no,54.6460992
1/28/2025,28,6,608,soybean,late,no,75.5842752
2/25/2025,56,1,101,corn,early,yes,48.8291328
2/25/2025,56,1,102,corn,late,no,6.4374912
2/25/2025,56,1,105,corn,early,no,37.7177472
2/25/2025,56,3,301,corn,early,yes,48.2702976
2/25/2025,56,3,302,corn,late,no,24.7593024
2/25/2025,56,3,304,soybean,late,yes,38.5814016
2/25/2025,56,1,108,soybean,late,yes,23.0864256
2/25/2025,56,3,305,corn,early,no,44.6959296
2/25/2025,56,3,308,soybean,late,no,43.2444096
2/25/2025,56,5,501,corn,early,no,20.8910016
2/25/2025,56,5,504,soybean,late,yes,29.8142208
2/25/2025,56,5,505,corn,early,yes,34.727616
2/25/2025,56,5,506,corn,late,no,26.7007104
2/25/2025,56,5,507,soybean,early,no,10.0082304
2/25/2025,56,5,508,soybean,late,no,19.2544128
2/25/2025,56,2,201,corn,early,no,24.2331264
2/25/2025,56,2,202,corn,late,no,29.012256
2/25/2025,56,2,204,soybean,late,no,19.6572096
2/25/2025,56,2,205,corn,early,yes,35.3844288
2/25/2025,56,2,208,soybean,late,yes,30.5762688
2/25/2025,56,4,401,corn,early,yes,35.4388608
